科室,疾病,ICD编码,备注1,备注2,ICDcode,现有241类疾病中已包括,gender,age,兼职人员,top0症状体征,关键症状体征,重要症状体征,普通症状体征,关键化验检查,重要化验检查,普通化验检查,delete,
妇产科,妇检,,"[('早孕', 14326), ('孕前', 6084), ('妇检', 5904), ('诊刮', 3360), ('周孕', 2115)]",,0,,2,4,,"早孕,孕前,妇检,诊刮,周孕，妇科检查",,妇检,,,,,1,
儿童口腔科,根管治疗,23.701,,,0,No,,,白莹,,牙齿病变、牙髓病变、牙根尖病变,牙髓坏死，牙髓炎，根尖周病，根尖周脓肿，根尖周囊肿，牙髓牙周综合征，龋齿，牙隐裂额，牙磨损，,,,,,1,
小儿普通外科,脾切除手术,无,,,0,No,,,王叮咛,,脾破裂、脾扭转、脾囊肿、脾肿瘤、霍奇金病、脾结核,脾脓肿、血液病、代谢病、脾功亢进,,,,,1,
儿科,病毒性和其他特指的肠道感染,A08,"[('轮状病毒肠炎', 53), ('轮状病毒性肠炎', 9), ('肠道病毒感染', 6), ('病毒性肠炎', 5), ('病毒性胃肠炎', 2)]",,A08,,,,,"肠道感染,轮状病毒肠炎,轮状病毒性肠炎,肠道病毒感染,病毒性肠炎,病毒性胃肠炎",,"腹泻,发热,恶心,腹胀,呕吐,食欲减退,腹痛","疲乏,稀便,黑便,血性大便",轮状病毒检查为阳性,大便常规：稀水样；白细胞增加,血常规：白细胞增高；淋巴比例增高,,
儿科,其他传染性和未特指病因的胃肠炎和结肠炎,,"[('胃肠炎', 555), ('感染性腹泻', 91), ('婴儿腹泻', 40), ('胃肠型上感', 5), ('痢疾', 2)]",,A09,,,,,"胃肠炎,感染性腹泻,婴儿腹泻,胃肠型上感,痢疾",,"发热,恶心,呕吐,食欲减退,里急后重,便血,腹胀,腹痛,便秘","腹部压痛,血性大便,胃肠气胀,肠出血,肠胃气滞,肠道湿热,脐腹痛,皮疹,肠鸣,稀便,中毒,排便障碍,大便溏泄,周身不适,粪便黑色,肌肉疼痛,胸膈间烧灼,肚子疼,头疼",大便常规：白细胞增高；吞噬细胞增高,血常规：白细胞增高,大便培养：细菌培养阳性,,
儿科,"呼吸道结核,未经细菌学或组织学所证实",,"[('肺结核', 167), ('粟粒性肺结核', 10), ('淋巴结结核', 2), ('右肺继发型结核', 1), ('结核性胸膜炎', 1)]",,A16,,,,,"呼吸道结核,肺结核,粟粒性肺结核,淋巴结结核,右肺继发型结核,结核性胸膜炎",,"盗汗,咯血,咳嗽,咳痰,呼吸困难,低热","消瘦,胸痛,乏力,纳差,消化不良",胸片：肺门淋巴结肿大；空洞；粟粒样,TB皮试：阳性；强阳性,T-spot试验：阳性,,
妇产科,其他器官的结核,,"[('盆腔结核', 31), ('淋巴结结核', 17), ('播散性结核病', 14), ('结核感染', 10), ('结核病', 8)]",,A18,,,,,"结核,盆腔结核,淋巴结结核,播散性结核病,结核感染,结核病",,"盗汗,疲乏,发热,消瘦,淋巴结肿大,腹痛，不孕，月经失调，下腹坠痛，查体腹部柔韧感,腹水，边界不清的囊性肿块，钙化结节","脓疱,尿频,恶心,关节痛,呕吐,食欲减退,腰背痛,尿痛,压痛,疼痛",痰涂片抗酸杆菌镜检阳性，痰培养结核分枝杆菌阳性，病理诊断结核,结核菌素皮肤试验（PPD）阳性；结核抗原、抗体阳性；痰结核杆菌定量PCR阳性，,胸部X线病灶，盆腔X线孤立钙化点，子宫输卵管点油造影阳性，腹腔镜下盆腔粟粒结节,,
新生儿科,新生儿破伤风,"A33,P00-P94",,,A33,No,,1,白莹,,哭闹，吃奶困难，牙关紧闭，面肌紧张，口角上牵，苦笑棉绒,阵发性双拳紧握，角弓反张，青紫，窒息，神志清楚的痉挛发作,,压舌板试验阳性，血培养破伤风梭状杆菌阳性,,,,
新生儿科,败血症,A41.901,,,A41,No,,,王叮咛,,黄疸、肝脾肿大、皮肤黏膜瘀点、瘀斑、针眼处渗血不止、消化道出血、肺出血、休克，面色苍灰，皮肤呈大理石样花纹、血压下降、尿少或无尿、硬肿症、中毒性肠麻痹,呕吐、腹胀、呼吸窘迫或暂停、青紫、肺炎、脑膜炎、坏死性小肠结肠炎、化脓性关节炎、骨髓炎,反应差、嗜睡、发热、体温不升、少吃、少哭、少动、体重不增或增长缓慢,血细菌培养阳性、脑脊液细菌培养阳性、尿细菌培养阳性、病原抗原及DNA检测阳性、,胃液、外耳道分泌物、咽拭子、皮肤拭子、脐残端、肺泡灌洗液等细菌培养，如为阳性，考虑为有细菌定植，但不能完全证明败血症。,周围血象：白细胞总数升高或降低，中性粒细胞中杆状核细胞比例增加，血小板计数增加。CRP升高，血清降钙素原升高，白细胞介素6升高；,,
妇产科,未特指部位的细菌性感染,,"[('支原体感染', 1762), ('UU感染', 506), ('链球菌感染', 303), ('HP感染', 182), ('支原体阳性', 106)]",,A49,,,,,"支原体感染,UU感染,链球菌感染,HP感染,支原体阳性",,"免疫力降低,持续性弛张热","排尿障碍,发热,寒战,干咳,剧咳,胃痛,咽痛,恶心,呕吐,尿道烧灼感,尿道口有白膜,昏迷,尿频尿急,胀气,呼吸急促,食欲不振,腹痛,下腹疼痛,脓疱,上腹部疼痛,软组织感染,嗜睡,痉挛性咳嗽,尿道刺痒,排水样血性大便,尿痛,打嗝,黏痰,灼热感,头疼","UU（解脲支原体）阳性，链球菌阳性, HPV阳性",,,,
